City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Chuy,UY,2020-02-23 18:32:50,-33.7,-53.46,71.78,59,66,4.61,broken clouds,0.0,0.0
1,Vao,NC,2020-02-23 18:28:52,-22.67,167.48,77.65,76,83,14.32,broken clouds,0.0,0.0
2,Bredasdorp,ZA,2020-02-23 18:32:51,-34.53,20.04,66.2,59,0,12.75,clear sky,0.0,0.0
3,Itarema,BR,2020-02-23 18:32:51,-2.92,-39.92,85.75,69,85,4.65,light rain,0.0,0.0
4,Lebu,CL,2020-02-23 18:32:02,-37.62,-73.65,69.19,57,2,9.35,clear sky,0.0,0.0
5,Te Anau,NZ,2020-02-23 18:33:35,-45.42,167.72,47.43,83,38,4.32,scattered clouds,0.0,0.0
6,Yellowknife,CA,2020-02-23 18:31:38,62.46,-114.35,-8.0,69,40,8.05,scattered clouds,0.0,0.0
7,Puerto Ayora,EC,2020-02-23 18:33:35,-0.74,-90.35,84.2,74,20,12.75,few clouds,0.0,0.0
8,Rikitea,PF,2020-02-23 18:33:35,-23.12,-134.97,78.37,74,2,8.25,light rain,0.0,0.0
9,Camacha,PT,2020-02-23 18:32:20,33.08,-16.33,68.0,72,20,19.46,few clouds,0.0,0.0
10,Biltine,TD,2020-02-23 18:32:53,14.53,20.92,77.99,11,0,11.72,clear sky,0.0,0.0
11,Cayenne,GF,2020-02-23 18:33:36,4.93,-52.33,84.2,70,75,14.99,broken clouds,0.0,0.0
12,Mataura,NZ,2020-02-23 18:32:57,-46.19,168.86,51.01,91,93,3.0,overcast clouds,0.0,0.0
13,Kushima,JP,2020-02-23 18:32:58,31.46,131.23,41.0,65,0,3.49,clear sky,0.0,0.0
14,Tuktoyaktuk,CA,2020-02-23 18:32:58,69.45,-133.04,-5.8,76,90,13.87,light snow,0.0,0.0
15,Severo-Kurilsk,RU,2020-02-23 18:28:15,50.68,156.12,23.5,96,100,37.63,snow,0.0,3.06
16,Vila Franca Do Campo,PT,2020-02-23 18:32:58,37.72,-25.43,60.8,87,20,8.05,few clouds,0.0,0.0
17,Nishihara,JP,2020-02-23 18:32:59,26.18,127.76,62.6,77,20,1.12,few clouds,0.0,0.0
18,Stokmarknes,NO,2020-02-23 18:33:39,68.56,14.91,33.8,94,90,28.86,rain and snow,0.0,0.0
19,San Andres,CO,2020-02-23 18:29:23,12.58,-81.7,84.2,66,40,6.93,scattered clouds,0.0,0.0
20,Punta Arenas,CL,2020-02-23 18:33:39,-53.15,-70.92,57.2,58,75,28.86,light intensity shower rain,0.0,0.0
21,Foso,GH,2020-02-23 18:33:40,5.7,-1.29,85.39,71,100,7.0,overcast clouds,0.0,0.0
22,Marawi,PH,2020-02-23 18:33:06,8.0,124.29,75.0,85,38,5.01,scattered clouds,0.0,0.0
23,Kaitangata,NZ,2020-02-23 18:33:41,-46.28,169.85,57.99,84,99,1.01,overcast clouds,0.0,0.0
24,Poum,NC,2020-02-23 18:33:43,-20.23,164.02,80.62,76,37,22.37,scattered clouds,0.0,0.0
25,Hobart,AU,2020-02-23 18:33:45,-42.88,147.33,57.2,76,99,4.7,overcast clouds,0.0,0.0
26,Bosobolo,CD,2020-02-23 18:33:46,4.18,19.9,87.08,22,96,3.18,overcast clouds,0.0,0.0
27,Escarcega,MX,2020-02-23 18:31:05,18.61,-90.75,90.16,30,0,1.19,clear sky,0.0,0.0
28,Saint-Pierre,RE,2020-02-23 18:33:47,-21.34,55.48,77.0,78,0,3.36,clear sky,0.0,0.0
29,Busselton,AU,2020-02-23 18:31:08,-33.65,115.33,68.0,44,93,15.14,light rain,0.0,0.0
30,Albany,US,2020-02-23 18:33:34,42.6,-73.97,51.01,29,75,4.7,broken clouds,0.0,0.0
31,Port Elizabeth,ZA,2020-02-23 18:33:48,-33.92,25.57,62.6,72,8,3.36,clear sky,0.0,0.0
32,Vaini,TO,2020-02-23 18:33:49,-21.2,-175.2,77.0,100,75,6.93,broken clouds,0.0,0.0
33,Jaguaruana,BR,2020-02-23 18:33:49,-4.83,-37.78,98.6,44,40,5.82,scattered clouds,0.0,0.0
34,Malanje,AO,2020-02-23 18:30:36,-9.54,16.34,66.87,98,100,5.28,moderate rain,0.0,0.0
35,Provideniya,RU,2020-02-23 18:33:49,64.38,-173.3,-9.76,73,0,2.24,clear sky,0.0,0.0
36,Ornskoldsvik,SE,2020-02-23 18:33:50,63.29,18.72,37.4,64,56,9.17,broken clouds,0.0,0.0
37,Alofi,NU,2020-02-23 18:33:36,-19.06,-169.92,80.6,88,100,5.82,light rain,0.0,0.0
38,Atuona,PF,2020-02-23 18:33:50,-9.8,-139.03,81.3,78,20,15.3,light rain,0.0,0.0
39,Najran,SA,2020-02-23 18:33:50,17.49,44.13,78.8,26,35,2.24,scattered clouds,0.0,0.0
40,Cooma,AU,2020-02-23 18:33:51,-36.23,149.13,53.6,93,60,5.82,broken clouds,0.0,0.0
41,San Quintin,MX,2020-02-23 18:31:54,30.48,-115.95,60.87,65,0,17.43,clear sky,0.0,0.0
42,Muisne,EC,2020-02-23 18:33:51,0.6,-80.03,84.2,89,40,4.7,scattered clouds,0.0,0.0
43,Cape Town,ZA,2020-02-23 18:31:38,-33.93,18.42,73.0,49,0,21.92,clear sky,0.0,0.0
44,Winona,US,2020-02-23 18:32:43,43.97,-91.77,46.99,49,1,6.93,clear sky,0.0,0.0
45,Takoradi,GH,2020-02-23 18:33:06,4.88,-1.76,82.76,80,93,7.83,light rain,0.0,0.0
46,Mezen,RU,2020-02-23 18:33:52,65.85,44.24,32.18,91,100,22.84,light snow,0.0,0.13
47,Antalaha,MG,2020-02-23 18:33:52,-14.9,50.28,82.99,75,98,0.78,overcast clouds,0.0,0.0
48,Butaritari,KI,2020-02-23 18:33:53,3.07,172.79,84.7,76,100,17.56,moderate rain,0.0,0.0
49,Deniliquin,AU,2020-02-23 18:33:53,-35.53,144.97,68.9,59,0,6.31,clear sky,0.0,0.0
50,Iquitos,PE,2020-02-23 18:33:55,-3.75,-73.25,42.8,100,75,3.36,broken clouds,0.0,0.0
51,Castro,BR,2020-02-23 18:33:25,-24.79,-50.01,79.45,39,100,1.3,overcast clouds,0.0,0.0
52,Norman Wells,CA,2020-02-23 18:31:07,65.28,-126.83,6.8,77,90,9.17,light snow,0.0,0.0
53,Airai,TL,2020-02-23 18:33:58,-8.93,125.41,66.96,87,74,4.16,broken clouds,0.0,0.0
54,Tomigusuku,JP,2020-02-23 18:33:58,26.18,127.67,62.6,77,20,1.12,few clouds,0.0,0.0
55,Tiksi,RU,2020-02-23 18:31:54,71.69,128.87,-9.99,88,100,7.81,overcast clouds,0.0,0.0
56,Rio Gallegos,AR,2020-02-23 18:31:47,-51.62,-69.22,62.6,36,40,16.11,scattered clouds,0.0,0.0
57,Katsuura,JP,2020-02-23 18:33:59,35.13,140.3,44.6,39,20,10.29,few clouds,0.0,0.0
58,Hirara,JP,2020-02-23 18:33:59,24.8,125.28,67.42,76,88,15.52,overcast clouds,0.0,0.0
59,Namibe,AO,2020-02-23 18:33:59,-15.2,12.15,75.15,79,93,11.72,overcast clouds,0.0,0.0
60,Shingu,JP,2020-02-23 18:34:00,33.73,135.98,46.08,65,0,9.15,clear sky,0.0,0.0
61,Bonga,ET,2020-02-23 18:34:00,7.28,36.23,64.2,70,21,2.59,few clouds,0.0,0.0
62,Kruisfontein,ZA,2020-02-23 18:34:00,-34.0,24.73,58.96,73,9,8.16,clear sky,0.0,0.0
63,Liverpool,GB,2020-02-23 18:29:14,53.41,-2.98,45.0,75,40,16.11,scattered clouds,0.0,0.0
64,Mar Del Plata,AR,2020-02-23 18:34:01,-38.0,-57.56,81.0,53,20,11.41,few clouds,0.0,0.0
65,Ilulissat,GL,2020-02-23 18:33:57,69.22,-51.1,-0.4,49,0,2.24,clear sky,0.0,0.0
66,Avera,US,2020-02-23 18:34:01,33.19,-82.53,61.0,24,1,5.82,clear sky,0.0,0.0
67,Cherskiy,RU,2020-02-23 18:34:02,68.75,161.3,-25.89,91,71,6.55,broken clouds,0.0,0.0
68,Salasu De Sus,RO,2020-02-23 18:34:02,45.52,22.95,39.22,85,93,2.77,overcast clouds,0.0,0.0
69,Cockburn Town,TC,2020-02-23 18:34:03,21.46,-71.14,73.96,74,14,22.06,few clouds,0.0,0.0
70,Pochutla,MX,2020-02-23 18:34:03,15.74,-96.47,91.4,55,40,6.98,scattered clouds,0.0,0.0
71,Nalut,LY,2020-02-23 18:34:08,30.33,10.85,55.78,40,0,8.43,clear sky,0.0,0.0
72,Hithadhoo,MV,2020-02-23 18:33:03,-0.6,73.08,83.26,78,100,14.05,light rain,0.0,0.0
73,Praia,CV,2020-02-23 18:31:19,14.92,-23.51,73.4,60,75,20.8,broken clouds,0.0,0.0
74,Jamestown,US,2020-02-23 18:33:39,42.1,-79.24,46.99,26,1,16.11,clear sky,0.0,0.0
75,Acapulco,MX,2020-02-23 18:34:09,16.86,-99.89,86.0,70,5,8.05,clear sky,0.0,0.0
76,Okhotsk,RU,2020-02-23 18:34:09,59.38,143.3,-14.03,84,0,5.75,clear sky,0.0,0.0
77,Talakan,RU,2020-02-23 18:34:10,50.32,130.37,6.17,90,100,1.45,overcast clouds,0.0,0.0
78,Stykkisholmur,IS,2020-02-23 18:34:10,65.08,-22.73,27.95,91,90,8.34,light snow,0.0,0.56
79,Shenjiamen,CN,2020-02-23 18:34:10,29.96,122.3,54.03,79,0,17.25,clear sky,0.0,0.0
80,Yayva,RU,2020-02-23 18:34:11,59.33,57.26,25.0,75,92,7.0,overcast clouds,0.0,0.0
81,Angren,UZ,2020-02-23 18:34:11,41.02,70.14,39.78,95,100,0.31,moderate rain,0.0,0.0
82,San Luis De Gaceno,CO,2020-02-23 18:34:11,4.82,-73.17,79.25,54,100,2.62,light rain,0.0,0.0
83,Lorengau,PG,2020-02-23 18:34:12,-2.02,147.27,83.43,71,10,6.78,clear sky,0.0,0.0
84,East London,ZA,2020-02-23 18:34:12,-33.02,27.91,66.2,68,20,3.36,few clouds,0.0,0.0
85,Qaanaaq,GL,2020-02-23 18:31:26,77.48,-69.36,-19.57,78,24,5.01,few clouds,0.0,0.0
86,Mahebourg,MU,2020-02-23 18:31:56,-20.41,57.7,77.0,88,75,4.7,broken clouds,0.0,0.0
87,Bocana De Paiwas,NI,2020-02-23 18:34:13,12.79,-85.12,83.25,59,58,11.45,broken clouds,0.0,0.0
88,Georgetown,MY,2020-02-23 18:34:13,5.41,100.34,80.6,83,40,4.16,scattered clouds,0.0,0.0
89,Longyearbyen,SJ,2020-02-23 18:30:14,78.22,15.64,-2.2,64,20,9.17,few clouds,0.0,0.0
90,San Matias,BO,2020-02-23 18:34:15,-16.37,-58.4,70.14,83,100,3.15,light rain,0.0,0.0
91,Aksu,CN,2020-02-23 18:34:18,41.12,80.26,39.38,44,100,5.48,overcast clouds,0.0,0.0
92,Lodja,CD,2020-02-23 18:34:18,-3.48,23.43,74.23,96,97,2.62,light rain,0.0,0.0
93,Kapaa,US,2020-02-23 18:34:18,22.08,-159.32,69.8,82,1,9.17,clear sky,0.0,0.0
94,Saint-Philippe,RE,2020-02-23 18:34:19,-21.36,55.77,77.0,78,0,3.36,clear sky,0.0,0.0
95,Hede,CN,2020-02-23 18:34:19,33.77,120.25,44.15,82,67,15.08,broken clouds,0.0,0.0
96,Guerrero Negro,MX,2020-02-23 18:34:20,27.98,-114.06,63.03,61,100,18.25,overcast clouds,0.0,0.0
97,Atambua,ID,2020-02-23 18:34:20,-9.11,124.89,75.07,86,44,2.13,scattered clouds,0.0,0.0
98,Yeppoon,AU,2020-02-23 18:34:20,-23.13,150.73,73.4,94,75,10.29,broken clouds,0.0,0.0
99,Yulara,AU,2020-02-23 18:34:21,-25.24,130.99,77.0,17,0,6.93,clear sky,0.0,0.0
100,Alta Gracia,AR,2020-02-23 18:34:21,-31.65,-64.43,81.0,53,0,16.11,clear sky,0.0,0.0
101,Labuhan,ID,2020-02-23 18:34:21,-6.88,112.21,75.2,93,89,3.27,light rain,0.0,0.0
102,Mazsalaca,LV,2020-02-23 18:34:21,57.86,25.05,37.99,88,61,5.99,light rain,0.0,0.0
103,Hermanus,ZA,2020-02-23 18:31:57,-34.42,19.23,73.0,74,0,5.99,clear sky,0.0,0.0
104,Fare,PF,2020-02-23 18:34:22,-16.7,-151.02,82.72,70,47,10.8,scattered clouds,0.0,0.0
105,Pacific Grove,US,2020-02-23 18:34:22,36.62,-121.92,57.99,76,90,8.05,light rain,0.25,0.0
106,Sainte-Suzanne,RE,2020-02-23 18:34:22,-20.91,55.61,77.0,88,89,2.24,overcast clouds,0.0,0.0
107,Kintampo,GH,2020-02-23 18:34:23,8.06,-1.73,95.85,19,40,4.45,scattered clouds,0.0,0.0
108,Nanortalik,GL,2020-02-23 18:33:47,60.14,-45.24,26.92,89,100,6.69,light snow,0.0,0.81
109,Bethel,US,2020-02-23 18:34:23,41.37,-73.41,54.0,29,1,10.29,clear sky,0.0,0.0
110,Kodiak,US,2020-02-23 18:34:23,57.79,-152.41,19.4,37,1,28.86,clear sky,0.0,0.0
111,Boyolangu,ID,2020-02-23 18:34:24,-8.12,111.89,73.89,96,86,4.32,overcast clouds,0.0,0.0
112,Arraial Do Cabo,BR,2020-02-23 18:31:56,-22.97,-42.03,80.6,69,75,11.41,broken clouds,0.0,0.0
113,Hasaki,JP,2020-02-23 18:34:28,35.73,140.83,41.0,44,20,3.36,few clouds,0.0,0.0
114,Upernavik,GL,2020-02-23 18:34:28,72.79,-56.15,-16.91,80,0,6.64,clear sky,0.0,0.0
115,Berlevag,NO,2020-02-23 18:34:29,70.86,29.09,28.4,92,75,5.82,light shower snow,0.0,0.0
116,San Policarpo,PH,2020-02-23 18:34:29,12.18,125.51,78.3,86,0,13.78,light rain,0.0,0.0
117,Tual,ID,2020-02-23 18:33:43,-5.67,132.75,82.9,79,82,11.81,light rain,0.0,0.0
118,Kovdor,RU,2020-02-23 18:33:03,67.57,30.48,23.58,90,100,6.69,light snow,0.0,0.25
119,Avarua,CK,2020-02-23 18:34:30,-21.21,-159.78,80.6,94,100,5.82,moderate rain,0.0,0.0
120,Faanui,PF,2020-02-23 18:31:43,-16.48,-151.75,82.67,70,66,10.54,broken clouds,0.0,0.0
121,Saskylakh,RU,2020-02-23 18:31:09,71.92,114.08,6.31,85,100,8.46,overcast clouds,0.0,0.0
122,Barrow,US,2020-02-23 18:34:30,71.29,-156.79,-29.2,81,20,10.29,few clouds,0.0,0.0
123,Port Macquarie,AU,2020-02-23 18:34:31,-31.43,152.92,68.0,94,75,4.7,broken clouds,0.0,0.0
124,Bluff,NZ,2020-02-23 18:34:31,-46.6,168.33,51.01,91,40,3.0,scattered clouds,0.0,0.0
125,Chokurdakh,RU,2020-02-23 18:34:31,70.63,147.92,-22.4,99,96,3.74,overcast clouds,0.0,0.0
126,Catamarca,AR,2020-02-23 18:34:31,-28.47,-65.79,64.27,57,1,6.02,clear sky,0.0,0.0
127,Sochi,RU,2020-02-23 18:34:32,43.6,39.73,42.8,93,90,2.24,overcast clouds,0.0,0.0
128,Saint George,US,2020-02-23 18:32:36,37.1,-113.58,50.0,81,1,4.7,clear sky,0.0,0.0
129,Sun City West,US,2020-02-23 18:34:32,33.66,-112.34,62.01,66,90,6.93,overcast clouds,0.0,0.0
130,Ushuaia,AR,2020-02-23 18:32:16,-54.8,-68.3,51.8,71,75,12.75,shower rain,0.0,0.0
131,Nome,US,2020-02-23 18:34:33,64.5,-165.41,1.4,84,90,11.41,mist,0.0,0.0
132,Tasiilaq,GL,2020-02-23 18:34:33,65.61,-37.64,10.4,72,96,2.24,overcast clouds,0.0,0.0
133,Cabra,ES,2020-02-23 18:34:33,37.47,-4.44,69.8,32,0,1.12,clear sky,0.0,0.0
134,Hyeres,FR,2020-02-23 18:34:34,43.12,6.12,66.2,45,0,16.11,clear sky,0.0,0.0
135,Nikolskoye,RU,2020-02-23 18:31:22,59.7,30.79,37.4,90,75,8.95,broken clouds,0.0,0.0
136,Pevek,RU,2020-02-23 18:34:35,69.7,170.31,-11.27,98,100,1.92,light snow,0.0,0.13
137,Boralday,KZ,2020-02-23 18:34:38,43.36,76.86,33.8,86,90,2.24,mist,0.0,0.0
138,Iqaluit,CA,2020-02-23 18:34:39,63.75,-68.51,-23.01,61,20,12.75,few clouds,0.0,0.0
139,Torbay,CA,2020-02-23 18:34:39,47.67,-52.73,37.0,69,20,24.16,few clouds,0.0,0.0
140,Hilo,US,2020-02-23 18:34:39,19.73,-155.09,70.0,64,40,4.7,scattered clouds,0.0,0.0
141,Orimattila,FI,2020-02-23 18:34:40,60.8,25.73,37.4,80,88,11.41,overcast clouds,0.0,0.0
142,Ribeira Grande,PT,2020-02-23 18:34:40,38.52,-28.7,62.6,67,75,5.82,broken clouds,0.0,0.0
143,Valparaiso,CL,2020-02-23 18:32:24,-33.04,-71.63,66.2,68,20,4.7,few clouds,0.0,0.0
144,Saldanha,ZA,2020-02-23 18:34:40,-33.01,17.94,78.8,34,0,12.75,clear sky,0.0,0.0
145,Isla Vista,US,2020-02-23 18:32:11,34.41,-119.86,62.01,59,1,4.7,clear sky,0.0,0.0
146,Okato,NZ,2020-02-23 18:34:41,-39.2,173.88,51.01,70,0,15.01,clear sky,0.0,0.0
147,Derzhavinsk,KZ,2020-02-23 18:34:41,51.1,66.32,10.99,95,74,5.79,broken clouds,0.0,0.0
148,Bintulu,MY,2020-02-23 18:33:21,3.17,113.03,77.0,94,75,0.85,broken clouds,0.0,0.0
149,Zelenoborsk,RU,2020-02-23 18:34:42,61.47,64.03,27.55,88,99,14.58,overcast clouds,0.0,0.0
150,Santa Rosa,PH,2020-02-23 18:34:42,14.31,121.11,77.0,78,75,5.82,broken clouds,0.0,0.0
151,Bondo,CD,2020-02-23 18:32:15,3.81,23.69,81.97,28,69,2.73,broken clouds,0.0,0.0
152,Hovd,MN,2020-02-23 18:34:43,48.01,91.64,17.64,66,100,1.9,overcast clouds,0.0,0.0
153,Kendari,ID,2020-02-23 18:34:43,-3.94,122.5,75.85,93,100,1.83,light rain,0.0,0.0
154,Esperance,AU,2020-02-23 18:34:43,-33.87,121.9,66.2,88,75,8.05,broken clouds,0.0,0.0
155,Bambanglipuro,ID,2020-02-23 18:34:43,-7.95,110.28,76.17,81,34,2.77,scattered clouds,0.0,0.0
156,Bubaque,GW,2020-02-23 18:34:44,11.28,-15.83,79.77,68,99,20.58,overcast clouds,0.0,0.0
157,Araouane,ML,2020-02-23 18:34:44,18.9,-3.53,89.73,7,41,11.97,scattered clouds,0.0,0.0
158,Lagunas,PE,2020-02-23 18:34:44,-5.23,-75.68,84.22,69,100,4.34,light rain,0.0,0.0
159,Thompson,CA,2020-02-23 18:31:14,55.74,-97.86,14.0,66,90,5.82,overcast clouds,0.0,0.0
160,Dikson,RU,2020-02-23 18:34:49,73.51,80.55,30.27,95,100,27.36,snow,0.0,1.75
161,New Norfolk,AU,2020-02-23 18:32:13,-42.78,147.06,57.2,76,97,4.7,overcast clouds,0.0,0.0
162,Cabo San Lucas,MX,2020-02-23 18:34:49,22.89,-109.91,84.99,44,75,10.29,broken clouds,0.0,0.0
163,Mattawa,US,2020-02-23 18:34:50,46.74,-119.9,57.2,54,90,20.8,light rain,0.89,0.0
164,Port Blair,IN,2020-02-23 18:32:41,11.67,92.75,81.14,75,41,12.1,scattered clouds,0.0,0.0
165,Miraflores,MX,2020-02-23 18:34:50,19.22,-98.81,82.4,33,5,4.7,clear sky,0.0,0.0
166,Adrar,MR,2020-02-23 18:34:51,20.5,-10.07,92.03,8,97,9.62,overcast clouds,0.0,0.0
167,Ancud,CL,2020-02-23 18:34:51,-41.87,-73.82,59.0,72,75,9.17,broken clouds,0.0,0.0
168,Maumere,ID,2020-02-23 18:34:51,-8.62,122.21,77.61,89,78,10.11,broken clouds,0.0,0.0
169,Mackenzie,CA,2020-02-23 18:34:51,55.3,-123.17,15.8,92,20,5.82,few clouds,0.0,0.0
170,Olafsvik,IS,2020-02-23 18:34:52,64.89,-23.71,31.48,74,100,8.81,overcast clouds,0.0,0.0
171,Kodinar,IN,2020-02-23 18:34:52,20.79,70.7,72.99,29,0,8.59,clear sky,0.0,0.0
172,Kununurra,AU,2020-02-23 18:33:38,-15.77,128.73,78.8,83,21,4.7,few clouds,0.0,0.0
173,Fortuna,US,2020-02-23 18:34:52,40.6,-124.16,53.01,76,75,3.24,broken clouds,0.0,0.0
174,Leningradskiy,RU,2020-02-23 18:34:53,69.38,178.42,-12.39,75,100,6.31,overcast clouds,0.0,0.0
175,Dawlatabad,AF,2020-02-23 18:34:53,36.41,64.91,54.48,74,91,1.5,overcast clouds,0.0,0.0
176,Soyo,AO,2020-02-23 18:34:53,-6.13,12.37,84.2,74,20,5.82,few clouds,0.0,0.0
177,Moose Factory,CA,2020-02-23 18:34:54,51.26,-80.61,12.2,85,1,12.75,clear sky,0.0,0.0
178,Dmitriyevka,RU,2020-02-23 18:34:54,54.75,55.33,28.4,79,90,22.37,overcast clouds,0.0,0.0
179,Talnakh,RU,2020-02-23 18:34:54,69.49,88.4,14.0,92,75,29.08,shower snow,0.0,0.0
180,Carnarvon,AU,2020-02-23 18:34:55,-24.87,113.63,75.2,88,40,8.05,scattered clouds,0.0,0.0
181,Isfana,KG,2020-02-23 18:34:58,39.84,69.53,48.2,87,90,13.42,mist,0.0,0.0
182,Imbituba,BR,2020-02-23 18:34:59,-28.24,-48.67,77.0,69,40,11.41,scattered clouds,0.0,0.0
183,Jieznas,LT,2020-02-23 18:34:59,54.6,24.17,39.2,64,90,9.17,overcast clouds,0.0,0.0
184,Campana,AR,2020-02-23 18:34:59,-34.17,-58.96,80.01,47,40,9.17,scattered clouds,0.0,0.0
185,Harnosand,SE,2020-02-23 18:32:50,62.63,17.94,37.4,55,40,8.05,scattered clouds,0.0,0.0
186,Viedma,AR,2020-02-23 18:35:00,-40.81,-63.0,89.35,21,0,20.98,clear sky,0.0,0.0
187,College,US,2020-02-23 18:35:00,64.86,-147.8,-4.0,83,20,0.98,few clouds,0.0,0.0
188,Comodoro Rivadavia,AR,2020-02-23 18:35:00,-45.87,-67.5,68.0,52,26,13.87,scattered clouds,0.0,0.0
189,Elbrus,RU,2020-02-23 18:35:01,43.26,42.64,14.09,75,10,8.57,clear sky,0.0,0.0
190,Rajampet,IN,2020-02-23 18:35:01,14.18,79.17,67.51,93,81,3.76,broken clouds,0.0,0.0
191,Victoria,HK,2020-02-23 18:35:02,22.29,114.16,68.0,63,66,18.34,broken clouds,0.0,0.0
192,Agadir,MA,2020-02-23 18:35:02,30.42,-9.6,89.6,8,0,6.93,clear sky,0.0,0.0
